participant_id,session_id,workHistory,interests1,interests2,interests3,feedback
1,1,Barista,"Sport results, trading card games, video games","Playing trading card games, board games, video games, going to the gym, running / jogging, cooking.",Biomedical Science,"No further feedback, study was easy to understand and navigate."
2,1,IT specialist for system integration,"politics, gaming, veganism, music","playing video games, watching shows, meeting with friends, going for runs","philosophy, astronomy",Was pretty interesting but it would've been nice to have a dedicated break in the middle of the task
3,1,"Storeman, Inventory Controller, Buyer, Senior Buyer, Sourcing Manager, Uk Purchasing Manager","Sport, Football, Politics",Watching local football team,"Increasing global inequality,",Nothing to add
5,1,"Nursing Assistant, Nurse","Entertainment, Politics, Medicine & Healthcare, Sport Analysis","Watching series, Playing video games, Listening to music","Computer programing, Data Analytics",None
6,1,"dispactcher, sales officer, manager","Travel, sports, art,","Travel, reading, painting, doing sports",Art desig,/
7,1,"graphic designer, assistant, extra, logistics","travelling, gardening, reading","kayaking, cinema, photography","languages, coding",Thank you for this interesting study.
8,1,none,"psychology, science, geography, history","watching movies, going outside",psychology,The study was fun and interesting! If there will be a possibility to do it again I'm very open!
9,1,"Store Manager, Bank Consultant, Implementation Specialist","health, fashion, Crime news","Reading, watching movies, hiking","psychologyTax education,",Nothing
10,1,"ESL tutor, Sale assistant, Nurse","Fashion design, baking, football","Reading novels, watch tv shows","Literature, phycology",This was a very good study
11,1,"janitor in a movie theater,","Videogames, Cooking, Watch movies and series","Play videogames, read comics","Programming, Learn another languages",No
12,1,"Manager,Analyst ,farmer, HR","Tradition,politics,history,economics and phycology","Swimming,reading,","Computer programing, philosophy",An amazing study
13,1,"Sales assistant, cashier, tutor, junior consultant, financial advisor","sports, law, documentaries, finance","playing netball, listening to music, reading a book, watching a movie","computer programming, coding","I really enjoyed the survey, Thank You!"
14,1,service desk consultant,"community engagement, soccer games","cooking, yoga","gender inequality, logistics, supply chain",n/a
15,1,Molecular Biologist and Geneticist(Research and Diagnosis separately),"Sports, Video games, History, Science","Books, Video games, reading Research papers , watching series.","Coding, Philosophy.",I really enjoyed the study and tried my best. Good luck with the results!!
16,1,"Senior Consultant, Analyst/Programmer, Sergeant, Assistant Management Accountant","Football (Soccer), 3D Printing, World & Local Politics","3D Printing, Family life","Scientific progress, inequality of every sort, corruption","I found myself going through different phases and changing the criteria I used, it was hard to stay with one process, during image selection."
17,1,"Planning manager, stock reconciliation clerk, postman, service adviser, pub landlord, café owner, storeman.","Football, F1, Cricket, Politics, Reading.","Reading, current affairs.",Car maintenance,No
18,1,"Help Desk , SysAdmin , Team Lead , IT Manager","Politics, Finanse , IT","Playing paddle tenis, watching F1",Computer programming,"No, everything was fine"
19,1,"Debt manager, kitchen assistant, orderly, nursing assistant, dietitian, pastry chef, laundry worker","video games, music, TV series, curiosities, nutrition, survival, movies","video games, reading, watching TV, spend times with friends","Finance, nutrition, video games",No
20,1,"sales assistant, cashier","indoor plants, animals","feed stray animals and care for them, houseplant chores","developmental biology, finances, photography",Everything went well.
21,1,Graphic Designer,"board games, crafting, DIY projects, graphic design, performing arts","cooking, watching movies, listening music, reading scifi/dieselpunk/cyberpunk books","mythology, ancient civilizations, space colonization, cosmology",Everything worked flawless
22,1,"TV Repair, Equipment Repair, Data Analyst, Data Migration Engineer, Chief Technology Officer (now)","Rugby League, Northern Soul, AI, Data Science","Watching Rugby League, Food, Drink, Exercise, Walking","AI, Data Science, Medical Science, Diets",not at this time
23,1,marketing manager,"interior design,marketing,sports","baking, cooking ,swimming ,singing ,gym",computer programming,interesting study and a bit challanging on the pictures. l would be happy to see more studies like this
24,1,"Cashier, Web & Graphic designer (Self-employed)","Designing, Technology, Computers.","Watching movies/series, Playing video games, cooking.","Computer programming, Cyber security",None.
25,1,Teacher,science and technology,reading,science and art,I did not encounter any issues with the study and I enjoyed doing it.
26,1,Doctor,"medicine, politics",sports,Scienc,no
27,1,Engineer,"Science,sports, politics","photography,science",science,no
28,1,"Teacher, IT, Financial ADVISOR","Sports, politics","Reading books, hiking cooking,",Computer Programming,It was fun and informative though a bit longer
29,1,"waitress,caregiver,teacher",local politics and sports,"reading, playing bordgames,listening to music",geography,no
30,1,"SaleaAssistant, Office administrator, NHS Officer, Social Media Risk Analystnalyst",Current Affairs,"Reading, Going to the ballet, Going to concerts","History, Aromatherapy",Very interesting study but quite challenging at times.
31,1,", Store Clerk Electronics, Secuirty Guard, Web Designer, Middle Manager,","Football, Stocks","Weight Lifting, Running, Walking my dgos, watching movies, Listening to music, Playing video games",Learning the Japanese language,No
33,1,"owner,office manager","sports,fishing,walking,","fishing,swimming",history,"no, thank you."
34,1,"waiter, barista, sales representative","Gaming, soccer, reading, exercising","Playing rugby, football, watching movies/TvV shows","Finance, literature, technology, coding.",The experiment was very interesting and fun although it was very challenging but i loved taking part in the study.
35,1,Social worker,I love sport news and current affairs,"I love sport, cooking and listning to music",I want to learn more about religion.,No thought except that the survey was really too long
36,1,line manager,gaming and sports,playing soccer,economics,no
37,1,senior manager,"sport, music, meditation","video games, reading, running","politics, economic, technology",no thanks
39,1,"PSYCHOLOGY,  Software engeneering","documentaries, hiking, cooking , social issues , research","Hiking,cooking ,reading, researching, exercising ,running site viewing",coding,no
41,1,manager in retail,"political causes, personal growth, relationships","biking, swimming, drawing","world culture, wild nature, new technology",thanks for participate
42,1,"Software,engineer lecturing","Fitness, climate change, social issues, economic issues","Cooking, running , studying ,researching","Software engineering ,data analysis",no
43,1,financial adviser and lnformation Technology,"Education ,writing books","spa day ,listening to music and cookingEngineering","Maths , Chemistry and biology",Thank you so much for giving me this opportunity to be part of your study
44,1,"Shop assistant, Waiter","Animals, Nature","Playing video games, hiking, communicating with family and friends","real estate, Business management, investments",very difficult study especially on the image/picture comparison
45,1,"sales assistant, manager","work, health","hiking , movies, cooking, playing with  kids , travelling","graphic designing , investigator ,",no
46,1,"janitor, teacher.","graphic designer, photography, drama.","basketball, soccer.","IT, accountant.","i loved doing this survey, it was very detailed and also needed a lot of attention but for me it was indeed fun"
47,1,doctor,racing cars,playing soccer,computer programming,n/a
48,1,software enginer,interior design,netball,"computer programming , software enginer","i loved oing this survey, it was a very engaging survey and i enjoyed it so much."
49,1,"Sales Assistant, Accountant, Manager of Production","reading books, taking care of my garden","reading books, watching tv series",reading books,"It was a great study, thank you"
50,1,"Cashier, Pizza assembler, MUA, Dispatch Analyst, Tech Officer","Fashion, health, arts, politics, technology","Swimming, Netflix, Gardening, Singing","CS, psych, fashion design",N/A
52,1,Software Developer,"competetive programming, doing studies on Prolific","walking, watching Nextflix series, wathcing esports",competetive programming,-
53,1,"cashier,manager","hiking,baking,my dog,movies,family","watching movies,hiking,traveling","history, politics,world news",no
54,1,"Senior manager, CFO, CSO, head of the department of suply chain","News, Live sports, Current events.","Spending time with my family, meditating, taking long walks around the neighborhood, watching movies and series, camping, fishing","physcology, science, computer, IT.",This study fried my brain and it was fun. Thank you! Have a great day!
55,1,data analyst,"education, technology","reading, cooking","statistics, mathematics, psychology",no
56,1,physical worker,"football, bet on sports.","doing sports, walk with dog, watch films",stock market,no
57,1,"cook, administrator, teacher","F1, history","spending time with my grandchildren, gardening",psychology,I really enjoyed this study
58,1,"store assistant, admin clerk, admin officer, admin manager","politics, art","exercising, baking, watching national geographics, spending time and spoiling my grand children",black empowerment,no
